Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Label
10.0.0.10,10.0.0.27,24,5192,12,2220,12,2972,7.308116473,5.585224391,3179.818528,4256.946245,Low
10.0.0.10,10.0.0.30,24,5192,12,2220,12,2972,7.308123003,6.539544518,2715.785473,3635.727218,Low
10.0.0.10,10.0.0.29,24,5192,12,2220,12,2972,7.308126034,6.283403813,2826.493494,3783.936336,Low
10.0.0.10,10.0.0.36,24,4440,12,2220,12,2220,7.359046136,8.614661435,2061.601623,2061.601623,Low
10.0.0.10,10.0.0.31,24,4440,12,2220,12,2220,7.35904901,6.637526289,2675.695617,2675.695617,Low
10.0.0.10,10.0.0.32,24,4440,12,2220,12,2220,7.359051955,7.128170161,2491.523013,2491.523013,Low
10.0.0.10,10.0.0.35,24,4440,12,2220,12,2220,7.385146544,8.031284328,2211.352416,2211.352416,Low
10.0.0.10,10.0.0.40,24,4440,12,2220,12,2220,7.385150415,9.560393709,1857.664082,1857.664082,Low
10.0.0.10,10.0.0.39,24,4440,12,2220,12,2220,7.385155539,9.13738187,1943.663979,1943.663979,Low
10.0.0.10,10.0.0.37,24,4440,12,2220,12,2220,7.385159064,8.707974623,2039.509848,2039.509848,Low
10.0.0.10,10.0.0.33,24,4440,12,2220,12,2220,7.385161983,7.486568543,2372.248367,2372.248367,Low
10.0.0.10,10.0.0.43,24,4440,12,2220,12,2220,7.399266405,10.00521342,1775.074579,1775.074579,Low
10.0.0.10,10.0.0.34,24,4440,12,2220,12,2220,7.441782924,7.638289283,2325.127963,2325.127963,Low
10.0.0.10,10.0.0.41,24,4440,12,2220,12,2220,7.441786079,9.569365446,1855.922433,1855.922433,Low
10.0.0.10,10.0.0.45,24,4440,12,2220,12,2220,7.441789753,10.5268923,1687.1076,1687.1076,Low
10.0.0.10,10.0.0.47,24,4440,12,2220,12,2220,7.441793149,11.14637634,1593.342935,1593.342935,Low
10.0.0.10,10.0.0.42,24,4440,12,2220,12,2220,7.441796466,9.81474258,1809.522752,1809.522752,Low
10.0.0.10,10.0.0.44,24,4440,12,2220,12,2220,7.441799559,10.47416941,1695.599843,1695.599843,Low
10.0.0.10,10.0.0.48,24,4440,12,2220,12,2220,7.441802402,11.50083489,1544.235716,1544.235716,Low
10.0.0.10,10.0.0.49,24,4440,12,2220,12,2220,7.441806516,12.03853772,1475.26223,1475.26223,Low
10.0.0.10,10.0.0.46,24,4440,12,2220,12,2220,7.441809578,10.90748461,1628.239749,1628.239749,Low
10.0.0.10,10.0.0.38,24,4440,12,2220,12,2220,7.71354976,8.49730309,2090.074911,2090.074911,Low
10.0.0.11,10.0.0.13,8,1480,4,740,4,740,7.354639975,0.527040051,11232.54293,11232.54293,Low
10.0.0.11,10.0.0.12,8,1480,4,740,4,740,7.354709191,0.319407627,18534.31008,18534.31008,Low
10.0.0.11,10.0.0.14,8,1480,4,740,4,740,7.371993771,0.912098493,6490.527115,6490.527115,Low
10.0.0.11,10.0.0.15,8,1480,4,740,4,740,7.385135962,1.270815562,4658.425799,4658.425799,Low
10.0.0.11,10.0.0.16,8,1480,4,740,4,740,7.385143215,1.542238911,3838.575177,3838.575177,Low
10.0.0.11,10.0.0.18,16,2960,8,1480,8,1480,7.399247464,2.295190822,5158.612472,5158.612472,Low
10.0.0.11,10.0.0.17,8,1480,4,740,4,740,7.441778224,1.724411092,3433.056089,3433.056089,Low
10.0.0.11,10.0.0.19,16,2960,8,1480,8,1480,7.535522299,2.307936842,5130.123054,5130.123054,Low
10.0.0.11,10.0.0.20,16,2960,8,1480,8,1480,7.53552564,2.645316108,4475.835596,4475.835596,Low
