No.,Time,Source,Destination,Protocol,Length,Info
471,4.418753129,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
472,4.418757534,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
473,4.418761989,127.0.0.1,127.0.0.1,OpenFlow,184,Type: OFPT_PACKET_OUT[Malformed Packet]
484,4.456156481,127.0.0.1,127.0.0.1,OpenFlow,215,Type: OFPT_PACKET_IN[Malformed Packet]
485,4.456293209,127.0.0.1,127.0.0.1,OpenFlow,221,Type: OFPT_PACKET_OUT[Malformed Packet]
486,4.486049511,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
487,4.486280529,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
488,4.48698859,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
489,4.487110892,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
490,4.487859929,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
491,4.487935053,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
492,4.487948686,127.0.0.1,127.0.0.1,OpenFlow,198,Type: OFPT_PACKET_IN[Malformed Packet]
493,4.487979914,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
494,4.488031639,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
495,4.488041742,127.0.0.1,127.0.0.1,OpenFlow,204,Type: OFPT_PACKET_OUT[Malformed Packet]
496,4.508790473,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
497,4.509109557,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
498,4.509624591,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
499,4.509691596,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
500,4.509702013,127.0.0.1,127.0.0.1,OpenFlow,318,Type: OFPT_PACKET_IN
501,4.509718407,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
502,4.509786604,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
503,4.509794705,127.0.0.1,127.0.0.1,OpenFlow,324,Type: OFPT_PACKET_OUT[Malformed Packet]
