Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.0.0.36,10.0.0.15,24,4440,12,2220,12,2220,8.4155116,0.422203345,42065.03859,42065.03859
10.0.0.36,10.0.0.31,24,4440,12,2220,12,2220,8.995425961,0.775053149,22914.55757,22914.55757
10.0.0.36,10.0.0.45,24,4440,12,2220,12,2220,9.085533962,1.840350773,9650.334197,9650.334197
10.0.0.36,10.0.0.38,8,1480,4,740,4,740,10.30082327,0.771666184,7671.711062,7671.711062
10.0.0.36,10.0.0.18,16,2960,8,1480,8,1480,11.3120487,0.831181516,14244.7826,14244.7826
10.0.0.36,10.0.0.11,24,4440,12,2220,12,2220,11.48649976,1.224075285,14508.91152,14508.91152
10.0.0.37,10.0.0.12,24,4642,12,2422,12,2220,4.990994323,5.759523667,3364.167094,3083.588336
10.0.0.37,10.0.0.31,24,4440,12,2220,12,2220,5.333342177,4.696371012,3781.643306,3781.643306
10.0.0.37,10.0.0.45,24,4440,12,2220,12,2220,5.456361153,4.580930716,3876.941412,3876.941412
10.0.0.37,10.0.0.23,16,2960,8,1480,8,1480,5.555865618,6.905871369,1714.483136,1714.483136
10.0.0.37,10.0.0.28,24,4440,12,2220,12,2220,5.898811668,0.218479133,81289.22775,81289.22775
10.0.0.37,10.0.0.27,24,4440,12,2220,12,2220,6.152630942,2.504546884,7091.103031,7091.103031
10.0.0.37,10.0.0.42,24,4440,12,2220,12,2220,6.226901005,2.03876032,8711.176015,8711.176015
10.0.0.37,10.0.0.19,16,2960,8,1480,8,1480,6.317734248,0.14283855,82890.78824,82890.78824
10.0.0.37,10.0.0.13,24,4440,12,2220,12,2220,6.334050418,5.152766199,3446.692381,3446.692381
10.0.0.37,10.0.0.48,24,4440,12,2220,12,2220,6.815402967,6.233223986,2849.247843,2849.247843
10.0.0.37,10.0.0.10,24,4440,12,2220,12,2220,7.336214714,0.656874663,27037.12139,27037.12139
10.0.0.37,10.0.0.20,16,2960,8,1480,8,1480,7.364790654,1.413366307,8377.163048,8377.163048
10.0.0.37,10.0.0.47,24,4440,12,2220,12,2220,7.467235226,1.432558009,12397.40373,12397.40373
10.0.0.37,10.0.0.38,8,1480,4,740,4,740,7.608428732,4.867872464,1216.137038,1216.137038
10.0.0.37,10.0.0.44,24,4440,12,2220,12,2220,7.632609111,2.491646907,7127.815723,7127.815723
10.0.0.37,10.0.0.29,24,4440,12,2220,12,2220,7.632615328,0.371900417,47754.71924,47754.71924
10.0.0.37,10.0.0.40,8,1480,4,740,4,740,8.34035341,1.228568356,4818.616702,4818.616702
10.0.0.37,10.0.0.33,24,4440,12,2220,12,2220,8.340365844,4.62171057,3842.73306,3842.73306
10.0.0.37,10.0.0.16,24,4440,12,2220,12,2220,9.085491059,0.290131867,61213.54467,61213.54467
10.0.0.37,10.0.0.34,8,1480,4,740,4,740,9.425107139,0.604537245,9792.614184,9792.614184
10.0.0.37,10.0.0.26,24,4440,12,2220,12,2220,12.18474371,0.593884673,29904.79601,29904.79601
10.0.0.38,10.0.0.23,16,2960,8,1480,8,1480,5.160202582,1.365195986,8672.747445,8672.747445
10.0.0.38,10.0.0.29,24,4440,12,2220,12,2220,5.16028129,1.419424196,12512.11586,12512.11586
10.0.0.38,10.0.0.34,8,1480,4,740,4,740,5.931428177,1.005678733,5886.571731,5886.571731
10.0.0.38,10.0.0.42,24,4440,12,2220,12,2220,6.078417384,1.538362055,11544.74653,11544.74653
10.0.0.38,10.0.0.17,24,4440,12,2220,12,2220,6.109965278,1.690992182,10502.7097,10502.7097
10.0.0.38,10.0.0.39,8,1480,4,740,4,740,6.152613629,1.25587773,4713.834682,4713.834682
10.0.0.38,10.0.0.46,24,4440,12,2220,12,2220,6.298594926,1.48364384,11970.52791,11970.52791
10.0.0.38,10.0.0.41,8,1480,4,740,4,740,6.334057249,4.671833425,1267.168467,1267.168467
10.0.0.38,10.0.0.49,24,4440,12,2220,12,2220,6.578574173,3.095255815,5737.813306,5737.813306
10.0.0.38,10.0.0.31,24,4440,12,2220,12,2220,6.762099303,1.895126325,9371.406943,9371.406943
10.0.0.38,10.0.0.12,24,4440,12,2220,12,2220,6.815391217,3.615537062,4912.1333,4912.1333
10.0.0.38,10.0.0.15,24,4440,12,2220,12,2220,6.928232714,3.184702489,5576.659064,5576.659064
10.0.0.38,10.0.0.35,8,1480,4,740,4,740,7.737497954,0.006526954,907008.0776,907008.0776
10.0.0.38,10.0.0.24,16,2960,8,1480,8,1480,8.505011355,1.259384344,9401.419079,9401.419079
10.0.0.38,10.0.0.33,24,4440,12,2220,12,2220,9.693228649,3.268840643,5433.118937,5433.118937
10.0.0.38,10.0.0.28,24,4440,12,2220,12,2220,11.45970847,0.599962933,29601.82875,29601.82875
10.0.0.39,10.0.0.10,24,4440,12,2220,12,2220,5.693297035,0.211229605,84079.12328,84079.12328
10.0.0.39,10.0.0.35,8,1480,4,740,4,740,5.828648823,0.933784417,6339.793096,6339.793096
10.0.0.39,10.0.0.33,24,4440,12,2220,12,2220,5.956266355,3.644767193,4872.739207,4872.739207
10.0.0.39,10.0.0.16,24,4440,12,2220,12,2220,6.100335811,0.196281917,90482.09979,90482.09979
10.0.0.39,10.0.0.46,24,4440,12,2220,12,2220,6.298587261,3.897224123,4557.089723,4557.089723
10.0.0.39,10.0.0.17,24,4440,12,2220,12,2220,6.815406678,0.218144066,81414.08715,81414.08715
10.0.0.39,10.0.0.21,16,2960,8,1480,8,1480,6.98838608,4.313290583,2745.004022,2745.004022
10.0.0.39,10.0.0.30,24,4440,12,2220,12,2220,7.164318424,1.888394828,9404.81288,9404.81288
10.0.0.39,10.0.0.11,24,4440,12,2220,12,2220,7.288796454,5.44594176,3261.143946,3261.143946
10.0.0.39,10.0.0.24,16,2960,8,1480,8,1480,7.743796067,4.717947673,2509.565773,2509.565773
10.0.0.39,10.0.0.20,16,2960,8,1480,8,1480,8.153521154,1.61093359,7349.775356,7349.775356
10.0.0.39,10.0.0.36,8,1480,4,740,4,740,8.156568233,1.412495798,4191.162911,4191.162911
10.0.0.39,10.0.0.26,24,4440,12,2220,12,2220,8.761468722,2.452723066,7240.931618,7240.931618
10.0.0.39,10.0.0.22,16,2960,8,1480,8,1480,8.792426961,1.128357603,10493.12733,10493.12733
